Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Giveout,"493	",Idaho,SNOTEL,Bear Lake,6930,42.4132,-111.1663,"160102010401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.8,0,0,3,"2015, 2016, 2017",2019,5
Glacial Ridge,"2050	",Minnesota,SCAN,Polk,1125,47.71667,-96.26667,"090203030503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.93,0,0,9,"2014, 2015, 2016, more",2017,14
Glen Cove,"1057	",Colorado,SNOTEL,Teller,11460,38.87583,-105.07367,"110200030201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.88,2,0,14,"2014, 2016, 2017, more",2009,16
Gobblers Knob,"962	",Alaska,SNOTEL,Yukon-Koyukuk,2030,66.745,-150.6675,"190901020403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,109,80,100,27,25,-1,43,9,7,,,,3.67,5,0,9,2011,2017,15
Golconda,"1195	",Nevada,SNOTEL,Humboldt,6616,40.88358,-117.58812,"160401080102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,67,4,1,Lowest,,,1,0,0,6,"2018, 2019, 2020, more",2015,10
Gold Axe Camp,"1159	",Washington,SNOTEL,Okanogan,5360,48.9516,-118.9864,"170200021204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.4,0,0,3,"2016, 2018, 2019, more",2017,10
Gold Center,"494	",Oregon,SNOTEL,Grant,5410,44.7638,-118.3117,"170702020202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.75,0,0,6,"2016, 2018, 2019, more",2005,16
Gold Mountain,"1256	",Washington,SNOTEL,Ferry,4390,48.18934,-118.4559,"170200011703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.17,0,0,1,"2016, 2018, 2019, more",2017,6
Golden,"3210	",British Columbia,ACIS,"	",2583,51.5,-116.96667,"170200170000	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.94,0,0,10,"2016, 2018, 2019, more","1984, 1999",36
Gooseberry RS,"495	",Utah,SNOTEL,Sevier,7944,38.80034,-111.68333,"160300030405	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,72,6,1,Lowest,,,0.47,0,0,5,"2017, 2018, 2020, more",2014,19
Gooseberry RS Up,"1184	",Utah,SNOTEL,Sevier,8396,38.7882,-111.68892,"160300030405	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.89,0,0,8,"2016, 2017, 2018, more",2014,9
Government Camp,"353402	",Oregon,ACIS,Clackamas,3980,45.3014,-121.7417,"170800010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.99,0,0,30,"2016, 2018, 2019, more","1984, 1994",68
Government Corrals,"1250	",Oregon,SNOLITE,Harney,7400,42.04308,-118.3195,"171200090201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1,0,0,7,"2017, 2018, 2019, more",2014,7
Graham Guard Sta.,"496	",Idaho,SNOTEL,Elmore,5690,43.9538,-115.27387,"170501110303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,67,9,1,Lowest,,,3.96,0,0,82,"2018, 2019, 2020, more",2000,25
Grand Targhee,"1082	",Wyoming,SNOTEL,Teton,9260,43.77933,-110.92783,"170402040202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,51,45,71,8,8,-12,21,12,4,,,,19.8,22,4,46,2008,2017,15
Grandview,"956	",Alaska,SNOTEL,Kenai Peninsula,1100,60.60832,-149.06313,"190203021001	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,13,20,100,1,1,-4,25,10,4,,,,8,5,0,29,"2013, 2016, 2017",2010,13
Granite Creek,"497	",Wyoming,SNOTEL,Teton,6770,43.34298,-110.43495,"170401030304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,82,,33,2,2,1,63,4,6,,,,1.22,0,0,4,"2015, 2016, 2018, more","2013, 2017",9
Granite Crk,"963	",Alaska,SNOTEL,Southeast Fairbanks,1240,63.94382,-145.39993,"190803031306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",8,,,208,200,89,28,42,4,89,3,16,,,,3.84,4,0,9,2013,"2004, 2008",19
Granite Peak,"498	",Nevada,SNOTEL,Humboldt,8503,41.67032,-117.56668,"160401090601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,52,11,1,Lowest,,,3.64,0,0,27,"2018, 2019, 2020, more",2004,22
Grano Creek,"2E07P	",British Columbia,Cooperator Snow Sensors,"	",6148,49.55,-118.66667,"170200020403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,6.78,6.5,0,17,"2003, 2012",2013,18
Grassy Lake,"499	",Wyoming,SNOTEL,Teton,7265,44.12612,-110.83435,"170402030202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,63,80,50,4,4,-1,33,13,6,,,,6.32,5,0,19,2016,2004,19
Grave Creek,"500	",Montana,SNOTEL,Flathead,4300,48.91453,-114.76663,"170101010801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,72,100,33,4,4,0,59,8,9,,,,2.78,2,0,15,"2015, 2016, 2018, more",2013,18
Grave Springs,"501	",Wyoming,SNOTEL,Natrona,8550,43.46643,-107.23977,"100902010103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.41,4,0,16,"2014, 2015, 2016, more",2013,17
Grayback,"1058	",Colorado,SNOTEL,Rio Grande,11620,37.47033,-106.53783,"130100020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,94,150,25,5,6,1,56,8,10,,,,3.18,2,0,10,"2015, 2016, 2017, more",2004,17
Green Lake,"502	",Washington,SNOTEL,Yakima,5920,46.54741,-121.17093,"170300030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.83,2,0,15,"2016, 2018, 2019, more",2005,23
Green Mountain,"503	",Nevada,SNOTEL,Elko,8185,40.3848,-115.52757,"160401030401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.11,0,0,18,"2017, 2018, 2019, more",2004,19
Green River,"4065	",Wyoming,ACIS,Sweetwater,6090,41.53333,-109.46666,"140401030610	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,67,2,1,Lowest,,,0.25,0,0,1,"2017, 2018, 2020",2019,4
Greenpoint,"504	",Oregon,SNOTEL,Hood River,3310,45.62237,-121.70415,"170701050603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.36,0,0,2,"2016, 2018, 2019, more","2013, 2017",14
Grizzly Peak,"505	",Colorado,SNOTEL,Summit,11100,39.64631,-105.86973,"140100020201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,7.95,7,0,17,2014,2018,20
Gros Ventre Summit,"506	",Wyoming,SNOTEL,Teton,8750,43.38939,-110.12943,"170401020203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,49,50,75,6,6,-3,33,13,4,,,,6.16,6,0,14,2016,"2013, 2017",19
Grouse Camp,"507	",Washington,SNOTEL,Kittitas,5390,47.28107,-120.48771,"170300010401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.18,0,0,20,"2016, 2018, 2019, more",2005,17
Grouse Creek Divide,"964	",Alaska,SNOTEL,Kenai Peninsula,700,60.25965,-149.34228,"190203020902	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,67,100,100,2,2,0,73,5,8,,,,1.5,1,0,8,"2015, 2016, 2018, more",2011,16
Gulkana River,"2222	",Alaska,SCAN,Valdez-Cordova,1830,62.40962,-145.37513,"190201020604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,200,200,71,23,23,2.5,100,1,2,2nd Lowest,,,2.5,2.5,0,5,2018,2020,2
Gunsight Pass,"944	",Wyoming,SNOTEL,Sublette,9820,43.38332,-109.87815,"170401020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,33,33,29,4,4,-4,21,16,3,,,,6.15,6,1,15,"1999, 2014",2017,20
Gutz Peak,"1065	",Utah,SNOTEL,Washington,6763,37.49617,-113.94235,"150100100101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,142,,100,3,3,1,94,2,15,2nd Highest,,,0.71,0,0,10,"2017, 2018, 2019, more",2004,17
Hagans Meadow,"508	",California,SNOTEL,El Dorado,7742,38.8519,-119.9374,"160501010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,73,7,1,Lowest,,,1.87,0,0,14,"2018, 2019, 2020, more",2004,23
Hams Fork,"509	",Wyoming,SNOTEL,Lincoln,7840,42.146,-110.67833,"140401070504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,80,3,1,Lowest,,,0.36,0,0,2,"2017, 2018, 2020, more","2013, 2019",11
Hand Creek,"510	",Montana,SNOTEL,Flathead,5035,48.30754,-114.84075,"170102100304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,160,400,22,5,5,1.5,84,4,14,,,,1.25,0.5,0,8,"2012, 2015, 2016, more",2017,20
Hannagan Meadows,"511	",Arizona,SNOTEL,Greenlee,9020,33.65387,-109.30952,"150601010107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.42,0,0,2,"2017, 2018, 2019, more",2004,19
Hansen Sawmill,"512	",Wyoming,SNOTEL,Johnson,8360,44.25602,-106.97983,"100902060101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,208,300,75,17,18,4,88,3,14,,,,2.89,2,0,9,"2015, 2016, 2018, more","2013, 2017",18
Happy Jack,"969	",Arizona,SNOTEL,Coconino,7630,34.74598,-111.41207,"150602020604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.33,0,0,17,"2017, 2018, 2019, more",2000,18
Hardscrabble,"896	",Utah,SNOTEL,Morgan,7250,40.86833,-111.71865,"160201020105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,9,1,Lowest,,,1.41,0,0,11,"2016, 2017, 2020, more",2004,17
Harris Flat,"514	",Utah,SNOTEL,Kane,7792,37.48997,-112.57602,"160300010104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,450,,100,3,3,1,94,2,16,2nd Highest,,,0.22,0,0,2,"2017, 2018, 2019, more",2004,18
Hart Mountain AM,"1218	",Oregon,SNOLITE,Lake,6480,42.47972,-119.71917,"171200080501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,75,3,1,Lowest,,,0.56,0,0,4,"2018, 2019, 2020, more",2017,9
Harts Pass,"515	",Washington,SNOTEL,Okanogan,6490,48.72047,-120.6586,"171100050501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",12,,,113,133,63,10,10,3,65,8,14,,,,10.67,9,0,31,2002,2001,21
Hawkins Lake,"516	",Montana,SNOTEL,Lincoln,6450,48.9723,-115.95337,"170101050201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,56,63,33,6,6,-3,26,18,7,,,,8.92,8,0,21,2008,2017,24
Hawley Lake,"1271	",Arizona,SNOTEL,Apache,8300,33.97142,-109.76528,"150601020106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,600,,50,2,2,1,100,1,6,Highest,,,0.17,0,0,1,"2017, 2018, 2019, more",2020,6
Hayden Fork,"517	",Utah,SNOTEL,Summit,9130,40.79669,-110.88472,"160101010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,41,14,1,Lowest,,,2.17,1,0,16,"2015, 2016, 2020, more",2004,23
Hayden Pass,"1102	",Colorado,SNOTEL,Saguache,10720,38.29326,-105.8505,"130100030301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,41,100,33,3,4,0,50,7,5,,,,4.85,2,0,16,"2007, 2010, 2012",2009,13
Heavenly Valley,"518	",California,SNOTEL,El Dorado,8534,38.92431,-119.91641,"160501010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,52,11,1,Lowest,,,3,0,0,22,"2018, 2019, 2020, more",2004,22
Heber,"519	",Arizona,SNOTEL,Coconino,7640,34.31202,-110.75431,"150200100201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,81,4,1,Lowest,,,0.18,0,0,1,"2018, 2019, 2020, more","2003, 2007, 2015",17
Hedrick Lake,"1A14P	",British Columbia,Cooperator Snow Sensors,"	",3668,54.1,-121,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,11.89,6.5,0,100,"2005, 2007, 2010, more",2008,18
Heen Latinee,"1270	",Alaska,SNOTEL,Juneau,2065,58.69652,-134.86448,"190103010401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",174,,,494,,100,307,355,174,100,1,5,Highest,,,35.2,0,0,174,"2015, 2016, 2017",2020,5
Hemlock Butte,"520	",Idaho,SNOTEL,Clearwater,5810,46.48111,-115.63361,"170603070601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,114,150,40,5,5,2,57,10,13,,,,5.27,4,0,18,"2007, 2012, 2016",2004,22
Henrys Fork,"1193	",Utah,SNOLITE,Summit,10182,40.86313,-110.38145,"140401060201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-3,13,8,1,Lowest,,,3.33,3,0,9,"2017, 2020",2013,9
Hewinta,"521	",Utah,SNOTEL,Summit,9500,40.95009,-110.48419,"140401070203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,57,10,1,Lowest,,,1.64,0,0,9,"2017, 2018, 2020, more",2003,22
Hickerson Park,"522	",Utah,SNOTEL,Daggett,9122,40.90663,-109.96287,"140401060501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1.5,37,13,1,Lowest,,,3,1.5,0,11,"2012, 2017, 2020, more",2009,20
Hidden Lake,"988	",Idaho,SNOTEL,Boundary,5040,48.8937,-116.75748,"170101040502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,74,100,40,4,4,0,55,10,11,,,,5.38,4,0,20,"2014, 2016, 2018, more",2005,21
High Lonesome,"1187	",Colorado,SNOTEL,Grand,10620,40.03592,-105.75471,"140100010205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,52,86,38,4,4,-0.5,43,5,3,,,,5.75,3.5,0,14,2017,2018,8
High Ridge,"523	",Oregon,SNOTEL,Umatilla,4920,45.69682,-118.10657,"170701030103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.25,1,0,12,"2014, 2016, 2018, more",2007,16
Hilts Creek,"524	",Idaho,SNOTEL,Custer,8000,44.01897,-113.4723,"170402170401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,31,33,100,2,2,-2,25,13,3,,,,3.24,3,0,12,"2007, 2016",2004,17
Hobble Creek,"1223	",Utah,SNOTEL,Utah,7377,40.18538,-111.35971,"160202020304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,5,1,Lowest,,,0.67,0,0,3,"2017, 2018, 2020, more",2013,9
Hobbs Park,"525	",Wyoming,SNOTEL,Fremont,10100,42.86984,-109.09455,"100800030207	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-7,0,17,1,Lowest,,,8.94,7,0,24,2020,2017,17
Hogg Pass,"526	",Oregon,SNOTEL,Linn,4790,44.42042,-121.85655,"170900040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.39,0,0,8,"2016, 2018, 2019, more",2013,18
Hole-in-Mountain,"527	",Nevada,SNOTEL,Elko,8163,40.94168,-115.0954,"160600071602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,10,1,Lowest,,,1.68,0,0,10,"2012, 2013, 2020, more",2004,19
Hole-in-Rock,"528	",Utah,SNOTEL,Summit,9168,40.92167,-110.18623,"140401060205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,42,12,1,Lowest,,,3.35,2,0,11,"2017, 2018, 2020, more",2009,20
Holland Meadows,"529	",Oregon,SNOTEL,Lane,4930,43.66917,-122.56877,"170900020201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.13,0,0,7,"2016, 2018, 2019, more",2013,15
Hood River 0.8 SW,"ORHR0007	",Oregon,ACIS,Hood River,527,45.7003,-121.5321,"170701051106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,,,,,,,0
Hood River Exp Stn,"354003	",Oregon,ACIS,Hood River,500,45.6847,-121.5175,"170701050703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.15,0,0,12,"2017, 2018, 2019, more",1973,88
Hoodoo Basin,"530	",Montana,SNOTEL,Mineral,6050,46.9751,-115.0349,"170102040607	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,149,183,61,9,9,5,72,6,14,,,,7.37,6,0,21,"2008, 2012, 2015","2004, 2017",19
Hoosier Pass,"531	",Colorado,SNOTEL,Summit,11400,39.36127,-106.05978,"140100020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,13,12,25,2,2,-7.5,13,14,2,2nd Lowest,,,7.88,8.5,0,19,2016,2018,16
Hopewell,"532	",New Mexico,SNOTEL,Rio Arriba,10000,36.71631,-106.26348,"130201021401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,333,350,37,11,12,5,95,2,19,2nd Highest,,,2.1,2,0,8,"2016, 2017, 2019, more",2002,20
Horse Meadow,"1050	",California,SNOTEL,Alpine,8557,38.83652,-119.88732,"160502010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,65,7,1,Lowest,,,2.67,0,0,21,"2018, 2019, 2020, more",2004,18
Horse Ridge,"533	",Utah,SNOTEL,Morgan,8199,41.31372,-111.44624,"160201010601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.6,1,0,5,"2008, 2014, 2016, more","2011, 2019",15
Horsepasture Pass,"1264	",Alaska,SNOLITE,Matanuska-Susitna,4300,62.1345,-147.625,"190205011406	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,155,180,100,35,33,4,100,1,5,Highest,,,5.8,5,4,9,2016,2020,5
Hourglass Lake,"1122	",Colorado,SNOTEL,Larimer,9380,40.57913,-105.63068,"101900070101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,107,167,33,8,9,2,58,6,8,,,,4.69,3,0,13,"2008, 2016, 2017",2011,13
Howard Prairie,"1158	",Oregon,SNOTEL,Jackson,4580,42.215,-122.3713,"180102060401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",9
Howell Canyon,"534	",Idaho,SNOTEL,Cassia,7980,42.32029,-113.61587,"170402090602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.05,2,0,10,"2012, 2016, 2018, more",2004,19
Hozatka Lake,"2210	",Alaska,SCAN,Yukon-Koyukuk,206,65.198,-156.635,"190901091201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,3,1,Lowest,,,1.6,0,0,6,"2016, 2017, 2020",2014,5
Hozomeen Camp,"991	",Washington,SNOTEL,Whatcom,1690,48.98075,-121.07976,"171100050602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.21,0,0,1,"2017, 2018, 2019, more","2003, 2005, 2006, more",19
Hubbard Brook,"2069	",New Hampshire,SCAN,Grafton,1480,43.93333,-71.71667,"010700010205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,257,,0,4,4,1,88,3,14,,,,0.39,0,0,2,"2015, 2016, 2019, more","2017, 2018",18
Huckleberry Creek,"928	",Washington,SNOTEL,Pierce,2250,47.06565,-121.58778,"171100140307	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.05,0,0,1,"2017, 2018, 2019, more",2008,22
Humboldt Gulch,"535	",Idaho,SNOTEL,Shoshone,4250,47.53178,-115.77643,"170103020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,57,4,1,Lowest,,,1.63,0,0,7,"2016, 2018, 2020, more",2017,8
Huntington Horse,"1216	",Utah,SNOTEL,Sanpete,9652,39.61774,-111.30576,"140600070201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.25,0,0,6,"2016, 2017, 2018, more",2013,8
Hyndman,"537	",Idaho,SNOTEL,Blaine,7620,43.71077,-114.15894,"170402190402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,35,12,1,Lowest,,,1.5,1,0,6,"2018, 2019, 2020, more",2004,18
Idarado,"538	",Colorado,SNOTEL,Ouray,9800,37.9339,-107.67552,"140200060201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.81,1.5,0,6,"2008, 2012, 2016, more",2004,16
Imnaviat Creek,"968	",Alaska,SNOTEL,North Slope,3050,68.61683,-149.30017,"190604010702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",19,,,110,100,49,39,50,0,63,4,4,,,,17.22,19,8,25,2018,2017,9
Independence Camp,"539	",California,SNOTEL,Sierra,6980,39.45269,-120.29367,"160501020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,63,8,1,Lowest,,,1.75,0,0,16,"2018, 2019, 2020, more",2004,20
Independence Creek,"540	",California,SNOTEL,Sierra,6436,39.49001,-120.28226,"160501020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,71,7,1,Lowest,,,1.41,0,0,14,"2018, 2019, 2020, more",2004,22
Independence Lake,"541	",California,SNOTEL,Nevada,8338,39.42752,-120.31342,"160501020104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-3,32,16,1,Lowest,,,4.78,3,0,28,"2018, 2019, 2020, more",2004,23
Independence Mine,"1091	",Alaska,SNOTEL,Matanuska-Susitna,3550,61.79117,-149.27967,"190205051202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,83,83,67,15,15,-2,42,8,6,,,,12.08,12,2,23,2009,2017,13
Independence Pass,"542	",Colorado,SNOTEL,Pitkin,10600,39.07539,-106.61169,"140100040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,49,43,38,3,5,-4,29,11,4,,,,6.07,7,0,11,"2012, 2016","2018, 2019",15
Indian Canyon,"543	",Utah,SNOTEL,Duchesne,9171,39.89166,-110.74604,"140600040701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,67,7,1,Lowest,,,1.63,0,0,21,"2017, 2018, 2020, more",2004,19
Indian Creek,"544	",Wyoming,SNOTEL,Lincoln,9425,42.30023,-110.67753,"140401070502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,0,6,1,Lowest,,,5.17,5,0,12,2020,2019,6
Indian Pass,"946	",Alaska,SNOTEL,Anchorage,2350,61.06767,-149.4795,"190204010402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",15,,,133,150,83,20,20,5,67,5,9,,,,11.31,10,0,26,2016,2011,13
Indian Rock,"1129	",Washington,SNOTEL,Klickitat,5360,45.99077,-120.80767,"170701060301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,82,3,1,Lowest,,,0.5,0,0,5,"2018, 2019, 2020, more",2017,12
Irish Taylor,"545	",Oregon,SNOTEL,Deschutes,5540,43.80368,-121.94793,"170703010106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.07,1,0,13,"2016, 2018, 2019, more",2005,15
Island Park,"546	",Idaho,SNOTEL,Fremont,6290,44.4203,-111.38512,"170402020601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,38,14,1,Lowest,,,1.73,1,0,8,"2014, 2016, 2020, more",2004,22
Ivanhoe,"547	",Colorado,SNOTEL,Pitkin,10400,39.29202,-106.54923,"140100040501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,25,25,40,3,3,-6,0,22,1,Lowest,,,7.86,8,2,17,2020,2018,22
JL Meadow,"1287	",Montana,SNOTEL,Beaverhead,8800,44.77665,-113.12217,"100200011202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,43,50,75,5,5,-3,0,3,1,Lowest,,,7,6,3,12,2020,2019,3
Jack Creek Upper,"548	",Nevada,SNOTEL,Elko,7377,41.54675,-116.00517,"170501050201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.64,0,0,15,"2017, 2018, 2019, more",2015,22
Jack Wade Jct,"1275	",Alaska,SNOTEL,Southeast Fairbanks,3585,64.1529,-141.32693,"190705022204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",8,,,100,100,89,26,24,0,50,3,3,,,,8,8,3,14,2016,2015,5
Jacks Peak,"549	",Nevada,SNOTEL,Elko,8424,41.5136,-116.0117,"170501050201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.6,1.5,0,23,"2017, 2018, 2019, more",2015,20
Jackson Peak,"550	",Idaho,SNOTEL,Boise,7070,44.05092,-115.44322,"170501200304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,21,20,1,Lowest,,,3.48,2,0,13,"2007, 2018, 2020, more",2004,25
